proximityRef;timestamp;proximity;rssi;accuracy
7.0;15:14:30;3;-90;4.49636362811448
7.0;15:14:31;3;-89;4.85788277402295
7.0;15:14:32;3;-89;5.21737379538685
7.0;15:14:33;3;-90;5.58907844401899
7.0;15:14:34;3;-90;5.95970047789717
7.0;15:14:35;3;-90;6.32878959965841
7.0;15:14:36;3;-89;6.67749858774576
7.0;15:14:37;3;-74;6.18833507287494
7.0;15:14:38;3;-81;6.27507283601467
7.0;15:14:39;3;-89;6.58719497123588
7.0;15:14:40;3;-90;6.91574993971252
7.0;15:14:41;3;-90;7.24456145682598
7.0;15:14:42;3;-90;7.5731546640087
7.0;15:14:44;3;-91;7.91952753974865
7.0;15:14:45;3;-75;7.34910524058811
7.0;15:14:46;3;-75;6.89738304096033
7.0;15:14:47;3;-75;6.52990523862322
7.0;15:14:48;3;-75;6.22447079732614
7.0;15:14:49;3;-75;5.96613182941081
7.0;15:14:50;3;-74;5.6721320663317
7.0;15:14:51;3;-75;5.48812902207404
7.0;15:14:52;3;-76;5.38150857723885
7.0;15:14:53;3;-75;5.23212693544582
7.0;15:14:54;3;-75;5.09902098421704
7.0;15:14:55;3;-75;4.97967644331925
7.0;15:14:56;3;-75;4.8721219799903
7.0;15:14:57;3;-76;4.81879945685197
7.0;15:14:58;3;-76;4.76948674656449
7.0;15:14:59;3;-76;4.7015953485481
7.0;15:15:00;3;-78;4.75836588229884
7.0;15:15:01;3;-78;4.81860149714114
7.0;15:15:02;3;-76;4.69944011373977
7.0;15:15:03;3;-76;4.59487362044756
7.0;15:15:04;3;-78;4.69105224063457
7.0;15:15:05;3;-78;4.77233592896375
7.0;15:15:06;3;-78;4.83842544429
7.0;15:15:07;3;-78;4.89166015186807
7.0;15:15:08;3;-78;4.93468288041823
7.0;15:15:09;3;-78;4.96993278729319
7.0;15:15:10;3;-78;4.99938798529332
7.0;15:15:11;3;-78;5.02442129045401
7.0;15:15:12;3;-77;4.98742500175801
7.0;15:15:13;3;-78;5.01077205140929
7.0;15:15:14;3;-78;5.03136070938249
7.0;15:15:15;3;-78;5.04966600853713
7.0;15:15:16;3;-78;5.06605757651913
7.0;15:15:17;3;-78;5.08082550816972
7.0;15:15:18;3;-78;5.09420471551235
8.0;15:16:30;3;-84;6.14618051264856
8.0;15:16:31;3;-79;6.12320336749463
8.0;15:16:32;3;-75;5.58352239070685
8.0;15:16:33;3;-75;5.21918828247363
8.0;15:16:34;3;-75;4.96002132990029
8.0;15:16:35;3;-74;4.67709854523053
8.0;15:16:36;3;-74;4.46488709781449
8.0;15:16:37;3;-74;4.29930961124111
8.0;15:16:38;3;-75;4.22555333607366
8.0;15:16:39;3;-75;4.16326477767564
8.0;15:16:40;3;-74;4.05794509850355
8.0;15:16:41;3;-74;3.96863975515983
8.0;15:16:42;3;-75;3.93687148937128
8.0;15:16:43;3;-75;3.90865454671479
8.0;15:16:44;3;-74;3.84139922542173
8.0;15:16:45;3;-74;3.78213232811445
8.0;15:16:46;3;-82;3.94407352506217
8.0;15:16:47;3;-82;4.1049321003746
8.0;15:16:48;3;-82;4.26420274853533
8.0;15:16:49;3;-81;4.40061856228212
8.0;15:16:50;3;-82;4.55550365422094
8.0;15:16:51;3;-82;4.70771281465383
8.0;15:16:52;3;-81;4.83289421016401
8.0;15:16:53;3;-81;4.95421061537799
8.0;15:16:54;3;-81;5.12267479605932
8.0;15:16:55;3;-81;5.32350294860702
8.0;15:16:56;3;-81;5.54195554362496
8.0;15:16:57;3;-81;5.76518945068155
8.0;15:16:58;3;-81;5.98341346285645
8.0;15:16:59;3;-81;6.17758070458537
8.0;15:17:00;3;-81;6.34362412147056
8.0;15:17:01;3;-81;6.50313776879203
8.0;15:17:02;3;-81;6.65212505612306
8.0;15:17:03;3;-81;6.78839531703614
8.0;15:17:04;3;-81;6.91109609331951
8.0;15:17:05;3;-81;7.01468065168065
8.0;15:17:06;3;-81;7.10006774048414
8.0;15:17:07;3;-81;7.17011037237604
8.0;15:17:08;3;-81;7.22780408766688
8.0;15:17:09;3;-81;7.27589317842083
8.0;15:17:10;3;-81;7.31664652007826
8.0;15:17:11;3;-81;7.35166741720813
8.0;15:17:12;3;-81;7.38212041788768
8.0;15:17:13;3;-81;7.40887229482071
8.0;15:17:14;3;-81;7.43833050159937
8.0;15:17:15;3;-81;7.46869966930692
8.0;15:17:16;3;-80;7.38861882549314
8.0;15:17:17;3;-81;7.42936240682559
8.0;15:17:18;3;-78;7.06715215460294
8.0;15:17:19;3;-75;6.27498353130626
8.0;15:17:20;3;-74;5.53019261414587
8.0;15:17:21;3;-75;5.15530450516785
8.0;15:17:22;3;-75;4.88268865816035
8.0;15:17:23;3;-74;4.58326110674875
8.0;15:17:24;3;-75;4.44695809461296
8.0;15:17:25;3;-75;4.34045884797657
8.0;15:17:26;3;-75;4.22999193764637
8.0;15:17:27;3;-75;4.12543546587332
8.0;15:17:28;3;-75;4.03206967542566
8.0;15:17:29;3;-80;4.32607972866583
9.0;15:20:44;3;-81;8.40967147981015
